Ranking;Country;Regional indicator;Ladder score;GDP per capita;Social support;Healthy life expectancy;Freedom to make life choices;Generosity;Perceptions of corruption
140;Afghanistan;South Asia;1,721;2,93451;0;62;0;0,22638;0,15383
86;Albania;Central and Eastern Europe;5,3042;6,71748;0,57133;74;0,79892;0,34403;0,08517
84;Argelia;Sub-Saharan Africa;5,3635;6,18327;0,73652;72;0,28611;0,22771;0,34775
48;Argentina;Latin America and Caribbean;6,1881;7,29612;0,85449;73;0,78851;0,21822;0,1399
81;Armenia;Commonwealth of Independent States;5,4549;6,7441;0,71415;73;0,75317;0,12831;0,3009
10;Australia;North America and ANZ;7,0569;8,66266;0,90385;76;0,87599;0,56188;0,56224
14;Austria;Western Europe;6,9047;8,80752;0,82671;76;0,81399;0,53362;0,52956
99;Azerbaijan;Commonwealth of Independent States;4,8934;6,69424;0,54171;70;0,77392;0,27835;0,34637
126;Bangladesh;South Asia;3,8859;5,23988;0,15414;71;0,89752;0,35025;0,29115
16;Belgium;Western Europe;6,8942;8,72705;0,89106;76;0,84413;0,42531;0,54042
113;Benin;Sub-Saharan Africa;4,3774;4,26801;0,0794;64;0,65654;0,27961;0,43828
72;Bolivia;Latin America and Caribbean;5,7843;5,68578;0,7296;70;0,83335;0,24842;0,10575
64;Bosnia and Herzegovina;Central and Eastern Europe;5,877;6,84293;0,81541;73;0,71889;0,6147;0
134;Botswana;Sub-Saharan Africa;3,3834;6,74926;0,59919;62;0,65642;0,03599;0,14271
44;Brazil;Latin America and Caribbean;6,272;6,67841;0,78488;72;0,7937;0,32444;0,24769
80;Bulgaria;Central and Eastern Europe;5,4627;7,61209;0,9086;72;0,71861;0,2078;0,01069
107;Burkina Faso;Sub-Saharan Africa;4,548;3,53115;0,42378;63;0,55939;0,43211;0,31067
116;Cambodia;Southeast Asia;4,3407;4,72308;0,63008;68;1;0,42378;0,12354
101;Cameroon;Sub-Saharan Africa;4,8744;4,40662;0,52953;64;0,60374;0,31514;0,10487
15;Canada;North America and ANZ;6,8996;8,59474;0,90232;76;0,84565;0,57434;0,64026
110;Chad;Sub-Saharan Africa;4,4713;2,81849;0,49824;61;0,47621;0,54504;0,19601
38;Chile;Latin America and Caribbean;6,3603;7,55165;0,84687;76;0,75386;0,29188;0,13124
60;China;East Asia;5,9727;6,99292;0,76627;74;0,81592;0,32887;0,2843
77;Colombia;Latin America and Caribbean;5,6951;6,71288;0,76751;75;0,74585;0,17864;0,10191
129;Comoros;Sub-Saharan Africa;3,5663;4,18371;0,2029;66;0,19937;0,32054;0,27768
87;Congo (Brazzaville);Sub-Saharan Africa;5,2215;4,16881;0,38471;64;0,60549;0,3089;0,23939
136;Congo (Kinshasa);Sub-Saharan Africa;3,2954;2,49318;0,41119;63;0,54754;0,47074;0,12548
12;Costa Rica;Latin America and Caribbean;6,9554;7,29097;0,84936;75;0,9226;0,27072;0,21378
62;Croatia;Central and Eastern Europe;5,9423;7,98916;0,89374;74;0,54346;0,16046;0,07452
50;Cyprus;Western Europe;6,0681;8,38021;0,75284;78;0,6125;0,31061;0,08551
18;Czechia;Western Europe;6,8218;8,33065;0,93473;74;0,91101;0,44123;0,11798
2;Denmark;Western Europe;7,5827;8,91278;0,94051;76;0,95298;0,50792;0,95358
68;Dominican Republic;Latin America and Caribbean;5,8228;7,08565;0,78657;71;0,84544;0,21543;0,34005
73;Ecuador;Latin America and Caribbean;5,7245;6,14556;0,7118;74;0,70203;0,21807;0,1362
124;Egypt;Middle East and North Africa;3,9766;6,4002;0,61604;70;0,56722;0,06326;0,45073
33;El Salvador;Latin America and Caribbean;6,4687;5,91016;0,66796;72;0,94521;0,20589;0,43942
34;Estonia;Western Europe;6,4477;8,18422;0,94468;75;0,93287;0,41531;0,69812
132;Eswatini;Sub-Saharan Africa;3,502;5,86448;0,57229;60;0,32912;0,14811;0,20145
127;Ethiopia;Sub-Saharan Africa;3,8609;3,69798;0,56598;68;0,51069;0,67442;0,17505
